method,sequence,accuracy,recall,fps,reinit,frames
tracker,butterfly,0.630258,0.370198,50.3333,2,151
tracker,butterfly,0.671912,0.454898,50.3333,3,151
tracker,butterfly,0.624,0.47264,50.3333,5,151
tracker,butterfly,0.683472,0.464834,50.3333,3,151
tracker,butterfly,0.593878,0.458918,50.3333,7,151
tracker,butterfly,0.68787,0.438873,50.3333,2,151
tracker,butterfly,0.705343,0.464215,50.3333,3,151
tracker,butterfly,0.625767,0.542568,37.75,6,151
tracker,butterfly,0.68528,0.449138,50.3333,2,151
tracker,butterfly,0.647752,0.441231,50.3333,3,151
tracker,butterfly,0.633397,0.416937,50.3333,2,151
tracker,butterfly,0.666993,0.440197,75.5,3,151
tracker,butterfly,0.608031,0.529184,50.3333,4,151
tracker,butterfly,0.597879,0.44084,50.3333,4,151
pmmh,car1,0.512357,0.535564,4.09945,80,742
pmmh,car1,0.486535,0.50408,4.03261,70,742
pmmh,car1,0.532596,0.556766,6.18333,78,742
pmmh,car1,0.526283,0.545952,4.09945,80,742
pmmh,car1,0.501113,0.530433,3.96791,71,742
pmmh,car1,0.520487,0.544412,4.05464,74,742
pmmh,car1,0.521409,0.550817,5.88889,67,742
pmmh,car1,0.525394,0.546354,4.21591,88,742
pmmh,car1,0.522351,0.547078,6.23529,81,742
pmmh,car1,0.536148,0.564826,5.98387,76,742
pmmh,car1,0.500038,0.517371,4.05464,74,742
pmmh,car1,0.526858,0.551067,6.23529,83,742
pmmh,car1,0.545012,0.57529,6.08197,80,742
pmmh,car1,0.527582,0.551286,4.12222,82,742
pmmh,car1,0.492846,0.519795,5.98387,73,742
tracker,car1,0.542313,0.572638,33.7273,72,742
tracker,car1,0.529211,0.565478,32.2609,60,742
tracker,car1,0.54384,0.56687,33.7273,61,742
tracker,car1,0.560146,0.584889,33.7273,77,742
tracker,car1,0.528407,0.556304,32.2609,71,742
tracker,car1,0.546051,0.567174,33.7273,74,742
tracker,car1,0.549474,0.569172,33.7273,65,742
tracker,car1,0.544778,0.570024,32.2609,65,742
tracker,car1,0.560572,0.583643,33.7273,69,742
tracker,car1,0.531142,0.562954,33.7273,73,742
tracker,car1,0.545202,0.572353,33.7273,72,742
tracker,car1,0.52764,0.546406,33.7273,74,742
tracker,car1,0.564163,0.579453,33.7273,58,742
tracker,car1,0.540285,0.566422,32.2609,65,742
tracker,car1,0.518573,0.546048,33.7273,74,742
pmmh,car2,0.538318,0.627226,26.2,18,393
pmmh,car2,0.49944,0.574048,35.7273,11,393
pmmh,car2,0.546361,0.583686,35.7273,7,393
pmmh,car2,0.516906,0.605317,26.2,20,393
pmmh,car2,0.508775,0.578719,32.75,13,393
pmmh,car2,0.558216,0.669524,24.5625,11,393
pmmh,car2,0.503456,0.581746,26.2,15,393
pmmh,car2,0.51531,0.637526,24.5625,13,393
pmmh,car2,0.443255,0.499468,26.2,13,393
pmmh,car2,0.537757,0.621326,35.7273,11,393
pmmh,car2,0.464727,0.537306,26.2,16,393
pmmh,car2,0.542315,0.623379,32.75,13,393
pmmh,car2,0.567178,0.641064,35.7273,11,393
pmmh,car2,0.466205,0.551565,28.0714,21,393
pmmh,car2,0.554731,0.639466,28.0714,21,393
tracker,car2,0.524356,0.633445,196.5,9,393
tracker,car2,0.525662,0.600335,196.5,9,393
tracker,car2,0.571376,0.645328,196.5,9,393
tracker,car2,0.498008,0.600591,196.5,9,393
tracker,car2,0.5182,0.59102,196.5,10,393
tracker,car2,0.469136,0.564385,393,10,393
tracker,car2,0.564595,0.658543,196.5,6,393
tracker,car2,0.553593,0.609268,196.5,9,393
tracker,car2,0.54066,0.679804,196.5,7,393
tracker,car2,0.424444,0.529334,196.5,11,393
tracker,car2,0.479735,0.529724,393,9,393
tracker,car2,0.574183,0.649657,196.5,10,393
tracker,car2,0.485318,0.607292,196.5,10,393
tracker,car2,0.554417,0.670465,196.5,4,393
tracker,car2,0.489273,0.590983,393,9,393
pmmh,crossing,0.686079,0.490717,4.09375,7,131
pmmh,crossing,0.763081,0.485945,6.2381,7,131
pmmh,crossing,0.747668,0.474803,6.2381,7,131
pmmh,crossing,0.713831,0.444378,4.36667,6,131
pmmh,crossing,0.753466,0.478411,6.2381,8,131
pmmh,crossing,0.733828,0.45989,6.89474,11,131
pmmh,crossing,0.594691,0.431097,5.69565,8,131
pmmh,crossing,0.739963,0.509366,5.95455,6,131
pmmh,crossing,0.792568,0.534441,6.2381,9,131
pmmh,crossing,0.727741,0.449882,7.27778,9,131
pmmh,crossing,0.746963,0.518547,4.36667,6,131
pmmh,crossing,0.773894,0.430838,8.73333,6,131
pmmh,crossing,0.71177,0.461784,6.2381,10,131
pmmh,crossing,0.751895,0.48435,4.67857,7,131
pmmh,crossing,0.687801,0.429119,5.45833,5,131
tracker,crossing,0.750669,0.468499,43.6667,9,131
tracker,crossing,0.709458,0.443259,43.6667,8,131
tracker,crossing,0.769367,0.496902,32.75,6,131
tracker,crossing,0.675943,0.493515,32.75,8,131
tracker,crossing,0.75356,0.463227,43.6667,8,131
tracker,crossing,0.759287,0.473718,43.6667,8,131
tracker,crossing,0.756704,0.47484,32.75,6,131
tracker,crossing,0.728409,0.46887,32.75,6,131
